idx,pattern,mean_loss,std_loss
103,rising,0.06152607,0.02693658
104,rising,0.06677837,0.05205674
105,rising,0.06208374,0.028556809
106,rising,0.058308896,0.029271929
107,stable,0.05741869,0.018641949
108,stable,0.047309995,0.029936709
109,stable,0.05219077,0.04352668
110,stable,0.055929516,0.06287477
111,stable,0.058160726,0.08454902
112,falling,0.03356414,0.0127998125
113,falling,0.042370733,0.017179277
114,falling,0.04237705,0.011544258
115,falling,0.027445916,0.015230323
116,falling,0.042074937,0.11751
117,stable,0.031844012,0.01849283
118,stable,0.033929594,0.032899573
119,stable,0.03151391,0.05196128
120,stable,0.0670671,0.249909
121,stable,0.04100326,0.06499703
122,stable,0.073630445,0.24258646
123,stable,0.039744277,0.036089502
124,rising,0.045889128,0.065903254
125,rising,0.0682107,0.20137078
126,rising,0.056883916,0.05923429
127,rising,0.06912936,0.11088286
128,rising,0.047662955,0.0440371
129,rising,0.046137203,0.07669784
130,stable,0.04244738,0.026480503
131,stable,0.048631802,0.04629105
132,stable,0.048158202,0.035527464
133,stable,0.042725496,0.033108547
134,stable,0.04810025,0.046333738
135,stable,0.058664422,0.08056849
136,stable,0.06174487,0.08659151
137,falling,0.06761537,0.11130752
138,falling,0.07385031,0.14589235
139,falling,0.07289709,0.14164324
140,falling,0.051566485,0.06006344
141,falling,0.08272104,0.20631394
142,stable,0.04918583,0.090671405
143,stable,0.04935914,0.0603611
144,stable,0.031808693,0.03283906
145,stable,0.038855527,0.02884985
146,stable,0.03956237,0.01341116
147,stable,0.0383694,0.04369029
148,stable,0.07624135,0.2262685
149,rising,0.03956175,0.03585287
150,rising,0.044152863,0.031583816
151,rising,0.06727276,0.16409408
152,rising,0.04927137,0.039647717
153,stable,0.047101628,0.025133645
154,stable,0.042057853,0.011968649
155,stable,0.040046837,0.01268672
156,stable,0.05324396,0.047746144
157,stable,0.02735021,0.029618256
158,stable,0.028798139,0.025224568
159,stable,0.031208726,0.03805724
160,falling,0.025351053,0.02706551
161,falling,0.023625698,0.02060739
162,falling,0.03431304,0.05226641
163,falling,0.024410956,0.01830533
164,falling,0.044964846,0.14684421
165,falling,0.02591713,0.03966432
166,stable,0.04640287,0.16208385
167,stable,0.043002237,0.027209714
168,stable,0.05261641,0.027107447
169,stable,0.060828067,0.09870727
170,stable,0.054232154,0.029548973
171,stable,0.08865866,0.20846449
172,rising,0.087877855,0.21980587
173,rising,0.054916143,0.041849542
174,rising,0.07955808,0.14156093
175,rising,0.055727143,0.016346985
176,rising,0.07820162,0.07437855
177,rising,0.07657204,0.035498288
178,stable,0.07231669,0.024077468
179,stable,0.064743064,0.014288834
180,stable,0.08218458,0.018533574
181,stable,0.06753488,0.018504487
182,stable,0.075254224,0.06842451
183,stable,0.066750124,0.024340853
184,falling,0.091559365,0.07244602
185,falling,0.090621695,0.024922188
186,falling,0.109306924,0.039418772
187,falling,0.10082415,0.030154547
188,falling,0.10646743,0.033982847
189,falling,0.10717614,0.08171202
190,falling,0.096850276,0.02403125
191,stable,0.08213164,0.032538746
192,stable,0.075972766,0.017678622
193,stable,0.106634125,0.14812121
194,stable,0.12688112,0.2395792
195,stable,0.084800206,0.029237587
196,stable,0.09247107,0.034625314
197,rising,0.09643846,0.17592819
198,rising,0.060760267,0.025603808
199,rising,0.063672185,0.029144792
200,rising,0.046009555,0.014540714
201,rising,0.0472132,0.012490114
202,stable,0.022231173,0.0071566342
203,stable,0.022929559,0.014277475
204,stable,0.024998698,0.015904713
205,stable,0.030735843,0.019910684
206,stable,0.027428811,0.06827861
207,stable,0.023736686,0.03338799
208,falling,0.017150763,0.02726181
209,falling,0.020859143,0.029108606
210,falling,0.018120617,0.027339283
211,falling,0.019389808,0.021771278
212,falling,0.0141378185,0.017150069
213,falling,0.015096129,0.016062535
214,stable,0.025003558,0.028544078
