idx,pattern,mean_loss,std_loss
700,rising,0.05263471,0.013840755
701,rising,0.04566751,0.016073387
702,rising,0.048487116,0.01824291
703,rising,0.041323535,0.010975795
704,rising,0.043095876,0.009034889
705,stable,0.06432681,0.020878097
706,rising,0.044897173,0.06478713
707,stable,0.03641101,0.016113544
708,stable,0.05757972,0.11810903
709,stable,0.051586,0.020647537
710,stable,0.056362513,0.13596407
711,stable,0.044946466,0.012299122
712,falling,0.060184017,0.015144689
713,falling,0.06652644,0.028339902
714,falling,0.08478951,0.018052671
715,falling,0.059026357,0.020167325
716,falling,0.04639777,0.019703148
717,falling,0.050807618,0.010306229
718,falling,0.069185995,0.08551324
719,stable,0.054411307,0.031607583
720,stable,0.06045284,0.016435042
721,stable,0.0982028,0.1739833
722,stable,0.039081085,0.07221569
723,rising,0.03152339,0.011317708
724,rising,0.033739664,0.01098431
725,rising,0.031470776,0.008336073
726,rising,0.029216666,0.018009383
727,rising,0.023419332,0.00842209
728,rising,0.026216617,0.013010615
729,rising,0.022444574,0.0069115586
730,stable,0.023331782,0.0078090644
731,stable,0.024345316,0.008108842
732,stable,0.04743376,0.09257843
733,stable,0.040328383,0.08917499
734,stable,0.032520894,0.013831179
735,stable,0.045348097,0.037743952
736,falling,0.028334878,0.018746074
737,falling,0.02312953,0.00842288
738,falling,0.03221424,0.013702239
739,falling,0.033940904,0.014965403
740,falling,0.039616227,0.018562915
741,falling,0.037657745,0.015451881
742,stable,0.040738687,0.011663523
743,stable,0.05517072,0.10515423
744,stable,0.03339726,0.007861669
745,stable,0.06253911,0.13858236
746,stable,0.03574459,0.0055116112
747,stable,0.042461988,0.013707426
748,rising,0.032472473,0.006569555
749,rising,0.033107996,0.028100515
750,rising,0.029909419,0.018591808
751,rising,0.027873484,0.008202057
752,rising,0.026324688,0.007438662
753,rising,0.02642576,0.01723574
754,stable,0.021812694,0.006182217
755,stable,0.040760193,0.109627336
756,stable,0.04240169,0.10862935
757,stable,0.040418576,0.0581389
758,stable,0.028063953,0.023076339
759,stable,0.037965026,0.10855158
760,falling,0.030294208,0.042507757
